;TicketID;Titel;Loesung
10;201201-038;Filesystem Datendisk defekt ;"ECU-mb-spa-004:/home/bladecontrol/mysql# ls
ls: lese Verzeichnis .: Eingabe-/Ausgabefehler

umount /home/cmrbl_mnt - zuvor Proz. killen

ECU-mb-spa-004:~# fsck.ext3 -yf /dev/hdb1
e2fsck 1.37 (21-Mar-2005)
Durchgang 1: Prüfe Inodes, Blocks, und Größen
Inode 32354, i_Blocks ist 488, sollte sein 432.  Repariere? ja

Durchgang 2: Prüfe Verzeichnis Struktur
Durchgang 3: Prüfe Verzeichnis Verknüpfungen
Durchgang 4: Überprüfe die Referenzzähler
Durchgang 5: Überprüfe Gruppe Zusammenfassung
Block Bitmap differieren:  -132175 -132200 -132206 -132240 -132264
Repariere? ja

Freie Blocks Anzahl ist falsch Gruppe #4 (13414, counted=13419).
Repariere? ja

Freie Blocks Anzahl ist falsch (720587, counted=720592).
Repariere? ja


/dev/hdb1: ***** DATEISYSTEM WURDE VERÄNDERT *****
/dev/hdb1: 21733/484800 Dateien (0.1% nicht zusammenhängend), 248592/969184 Blöcke


kurz nach mounten wieder das gleiche Problem darum  Umstellung komplett auf RAM-ONLY

"
11;201201-040;externe Daten n.a. (seit 2012-01-11 11:00];"externe Daten n.a. (seit 2012-01-11 11:00]
mb_spa_003 bekommt seit einen Tag zuvor ebenfalls keine ext. Daten"
12;201202-041;HMU n.e. bei Areva nachfragen;"Areva hatte die Zuordnung von ETH0 und ETH1 am Schleifring getauscht un dabei vergessen unser System mit umzusetzen. Wurde am 03.07.12 durch Lutz Groche (0174 9099 291) erledigt. Seitdem HMU ereichbar und misst. Alle RBL Kanäle in Ordnung. Nabensensor Verstärkung um Faktor 1000 reduziert.

Wir bekommen ein Foto der HMU-Box zugesandt mit Überprüfung der Zuordnung."
13;201207-006;Rotorblattzuordnung am HMU-Eingang vertauscht;"Lutz Groche (0174 9099 291) vor Ort. Bitte um Prüfung der RBL-Zuordnung an HMU-Eingängen:
Laut THK sollte folgendes anliegen:
1 2 3 Nabe Netzwerkkabel
Laut Lutz Groche:
Nabe 1 2 3 Netzwerkkabel
Laut Messdaten beim einzeln rausziehen der Kabel, von rechts beginnend (Cycle ID: 538, 543, 547, 553):
Nabe 3 2 1 Netzwerkkabel 

RBL-Bezeichnung gemäß Achsbeschriftung an den Pitchkästen"
14;201207-045;"HMU n.e. ""broken data stream"" seit 15.07.12";"HMU pingbar, allerdings Paketverlust, schafft keine ganzen Zyklen mehr, dadurch HMU n.e.

ECU-mb-spa-004:/home/bladecontrol/log# ping -s247 192.168.3.52
PING 192.168.3.52 (192.168.3.52) 247(275) bytes of data.
255 bytes from 192.168.3.52: icmp_seq=2 ttl=64 time=0.302 ms
19 packets transmitted, 13 received, 31% packet loss, time 18016ms

vermutlich Schleifring überlastet


[2012-07-16 @ FM]
richtig - vermutlich fällt die Packetgröße über den Schleifring < 255 bytes. und die HMU mit dem rudimentären TCP/IP Stack kann mit dynamischer MTU nicht umgehen.
würde sagen - Problem liegt nicht bei uns  - Burgholde informieren
"
15;201212-039;HMU n.e., schlecht erreichbar;
16;201212-065;CF-Card defekt;"Hallo Frank, du hast im WP-Spaden mysql und log aufs tmp gelegt. Warum? Es gibt kein Ticket, das anzeigt, dass etwas nicht funktioniert. Es gab auch kein Ticket, dass die Karte getauscht werden soll.
Bitte um Klärung. Wir haben hier schließlich schonmal ein RBL verloren. Bitte auch daran denken, das cp_tmpfiles Skript auf mehr als 20 minuten zu setzen

[2013-01-03 @ FM]
siehe Ticket [201105-022].
Es kann sein, dass die CF-CARD seit dem ausgetauscht wurde.
Alternative - auf sqlite umstellen



"
17;201301-023;/dev/hdb1  0 100% /home/cmrbl_mnt;/dev/hdb1             3,8G  3,8G     0 100% /home/cmrbl_mnt
18;201301-081;HMU n.e., schlecht erreichbar über Schleifring, beobachten;"HMU n.e., schlecht erreichbar, tlw. ""HMU nicht erreichbar (Unterbrochener Datenstrom)""
"
19;201302-032;ECU misst nicht, da hdb1 100%;"Löschscript funktioniert nicht am 8.2. noch Daten vom 06.01.13 vorhanden da Tag- Ordner 14?. angelegt wurde 

zunächst 29. - 31.01. gelöscht
Weitergabe an DS"
20;201303-046;HMU n.e.,Schleifring;"HMU n.e., IP 192.168.3.52
"
21;201303-070;HMU n.e.,Netzwerk-Paketveluste über Schleifring;"HMU n.e., IP 192.168.3.52

2013-03-22 13:11:18 ERR::MEASUREMENT:hmu->tickMeasurement(): broken data stream

64 bytes from 192.168.3.52: icmp_seq=29 ttl=64 time=0.143 ms
64 bytes from 192.168.3.52: icmp_seq=33 ttl=64 time=0.132 ms
64 bytes from 192.168.3.52: icmp_seq=35 ttl=64 time=0.136 ms

--- 192.168.3.52 ping statistics ---
40 packets transmitted, 17 received, 57% packet loss, time 39015ms
rtt min/avg/max/mdev = 0.131/0.141/0.159/0.010 ms
"
22;201306-017;Modbus Fehlermeldung im server-logfile;"im Modbus_server Logfile melden wir zur ECU-Rebootzeit (6Uhr)  64 x 0 für ca. 2 Minuten

[2013-06-13 @ FM] Fälligkeit auf Monatg gestzt weil AK morgen Urlaub  hat"
23;201306-060;RBL1 edge/flap/temp def;"RBL1 flap def.
RBL1 flap Sensorstrecke unterbrach umdrehungssynchron , (eventuell triggersychron), jetzt def.

Sensor.Blade#1.Flap 2013-06-25 set 2 SW

wartet auf IA 104113 - [201501-061] - Spaden-Lehe Kulanzangebot/Schulung

"
24;201309-007;mysql_error=Table 'mb_spa_004.externals' dosn't exist;mysql_error=Table 'mb_spa_004.externals' dosn't exist
25;201312-073;HMU n.e.;HMU n.e.
26;201402-051;HMU n.e.;"HMU n.e. per Drehdurchführung (Schleifring) 192.168.3.51

WEA ausser Betrieb lt. Kontaktperson


"
27;201407-084;ECU n.e.;"ECU n.e.
VPN Problem ?"
28;201408-074;ECU n.e.;"ECU n.e.


auch nicht per vpn :
bladecontrol@bcgw002:~$ ping 192.168.3.71
PING 192.168.3.71 (192.168.3.71) 56(84) bytes of data.

andere AREVA-WEA per vpn o.k.

"
29;201501-061;RBL3 edge Überschreitung Messbereich bei max df -> HMU Verstärkung reduzieren;"HMU Serienenummer 53 hat vermutlich noch zu hohe Verstärkung, dadurch bei df = 0,25 Hz zu hohe Amplituden -> führt zu Oberwellen der Drehzahl und falscher dynamischer Lastberechnung + Signalisierung
-> DynLoads deaktivert"
30;201501-121;RBL2  (Rotorblatt #264) beschädigt, Hinterkante beschädigt;"RBL2 beschädigt durch Kranarbeiten, gemeldet Frau Karsten , AREVA Wind GmbH
zur passenden Einschätzung fehlen noch die Sensorseriennummern"
31;201502-044;kein Backup BCDBS001, DBS20;"kein Backup BCDBS001, DBS20
Error: Keine Daten in Datenbank"
32;201503-004;ECUs n.e.;"ECUs n.e.,, VPN-Problem 

Email-Korrespondenz unter Dokumente"
33;201503-130;Fehlalarm Blattschaden wegen falscher preferences;email, anhängen wieder nicht möglich
34;201504-093;HMU n.e., 192.168.3.52;"HMU n.e., 192.168.3.52

WEA steht trotz Wind lt. Modbus"
35;201505-044;RBL3 edge/flap/temp def.;"RBL1 edge/flap/temp def.

wartet auf IA 104113 - [201501-061] - Spaden-Lehe Kulanzangebot/Schulung
"
36;201505-104;RBL1 edge ztw. def.;"RBL1 edge def.

https://webvis.bladecontrol.de/WebVis/webana?dbName=cmrblba_mb_av_032&t=28.05.2015%2007:17&tmid=20150528071713&baid=329&d=e&fmn=2&fmx=10&type=at&mid=1&chid=3&chid=4&chid=5"
37;201506-006;seit Umstellung cmrbl2.4 (rev 626), sqlite kein SigEn-Chart auf BCDBS003;"seit Umstellung cmrbl2.4 (rev 626), sqlite kein SigEn-Chart auf BCDBS003 auf DBS30 hingegen schon.
Liegt wohl an den Webapps selbst, siehe Notizen

"
38;201506-010;WEA meldet mehrfach Blattschaden am Tag;"BLADEcontrol®  meldet mehrfach Blattschaden am Tag
01:30:01, 2:22:21, 06:32  Uhr (WEA-Zeit)

eigentlich öfters Thunder-Alarm von RBL 1 , diese Sensorstrecke ist aber def. 

Adwen-Leitwarte informiert , das nicht von einem Blattschaden auszugehen ist,
Adwen-Leitwarte disabled Alarm"
39;201506-081;RBL3 edge + flap Anstieg SE, leichte Schläge im Zeitsignal bei geringer Leistung;"periodische Schläge zwischen 7 und 10 Uhr bei jeder Umdrehung
stft zeigt Anregung zwischen 150 und 190 Hz in edge-Richtung und zwischen 330 und 370 Hz in flap-Richtung
"
40;201506-113;ECUs n.e.;ECUs n.e., per VPN ebenfalls nicht
41;201506-151;HMU n.e.;HMU n.e. unter 10.5.7.212
42;201508-119;RBL2 Gurtriss;RBL2 Gurtriss
43;201509-057;zyklisches Zeitdaten senden mit send_at falsch konfiguriert;"2 Fehler, entweder
falsches Gateway eingetragen, es muss bladecontrol.serveftp.net sein, oder 
ein Leerzeichen bei der Tagesangabe z.B. 2,4, 6
"
44;201509-081;HMU n.e.;"WEA stand zum Ausfallzeitpunkt

ECU-mb-av-032:~# ping 10.5.7.212
PING 10.5.7.212 (10.5.7.212) 56(84) bytes of data.
From 10.5.7.211 icmp_seq=1 Destination Host Unreachable"
45;201511-084;RBL1 edge defekt seit Messbeginn, offenen Kanal, Kabelschaden;RBL1 edge defekt seit Messbeginn, offenen Kanal, Kabelschaden
46;201512-123;HMU n.e.;"WEA stand zum Ausfallzeitpunkt

ECU-mb-av-032:~# ping 10.5.7.212
PING 10.5.7.212 (10.5.7.212) 56(84) bytes of data.
From 10.5.7.211 icmp_seq=1 Destination Host Unreachable"
47;201601-069;HMU n.e.;
48;201602-062;ECUs n.e.;ECUs n.e.,
49;201602-174;ECU misst nicht, sdb1 100%;sdb1 100%, reorg manuell ausgeführt, löscht jetzt viele Dateien, aber Tag 24 nicht als Verzeichnis angelegt, daher kleine Spektren etc. verfügbar.
50;201603-088;exim noch aktiv - verbraucht potenziell inodes in /tmp;
51;201606-241;"RBL 1; Radius 2,5; Saugseite; Adwen-Schadensbericht";"Lunker; 20x; 2 mm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 12
09.10.2012"
52;201606-242;"RBL1; Radius 8; Druckseite; Adwen-Schadensbericht";"Decklack löst sich an alter Reperaturstelle

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 13
09.10.2012"
53;201606-244;"Blatt 1; Radius 13; Saugseite; Adwen-Schadensbericht";"Haarrisse; diagonal; max. 30 mm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 14
09.10.2012"
54;201606-245;"RBL 1; Radius 8; Druckseite; Adwen-Schadensbericht";"Haarrisse; diagonal; 10x; 80 mm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 13
09.10.2012"
55;201606-246;"RBL 1; Radius 20; Saugseite; Adwen-Schadensbericht";"Lackblase; 30x10 mm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 14
09.10.2012"
56;201606-247;"RBL 1; Radius 47; Hinterkante; Adwen-Schadensbericht";"Ausbruch; 60 mm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 15
09.10.2012"
57;201606-248;"RBL 1; Radius 56; Vorderkante; Saugseite; Adwen-Schadensbericht";"Ablösung der Erosionsschutzfolie; 30x30 mm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 15
09.10.2012"
58;201606-249;"RBL 2; Radius 6,5; Vorderkante; Adwen-Schadensbericht";"Lunker; 10x; max. 3 mm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 16
09.10.2012"
59;201606-250;"RBL 2; Radius 12-54,5; Druckseite; Adwen-Schadensbericht";"Ablösungen des Decklacks; 23x

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 16
09.10.2012"
60;201606-251;"RBL 2; Radius 30,5; Druckseite; Adwen-Schadensbericht";"alter Reperaturstelle; Ablösung des Decklacks

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 17
09.10.2012"
61;201606-252;"RBL 2; Radius 45,5; Saugseite; Druckseite; Hinterkante; Adwen-Schadensbericht";"Ablösungen des Decklacks; 5x; 50 mm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 17
09.10.2012"
62;201606-253;"RBL 2; Radius 45,5-55; Vorderkante; Adwen-Schadensbericht";"Ablösung der Erosionsschutzfolie

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 18
09.10.2012"
63;201606-254;"RBL 2; Blattspitze; Saugseite; Druckseite; Adwen-Schadensbericht";"Blitzeinschläge; 4x; max. 10 mm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 18
09.10.2012"
64;201606-255;"RBL 2; Blattspitze; Vorderkante; Adwen-Schadensbericht";"Erosion des Decklacks

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 19
09.10.2012"
65;201606-256;"RBL 3; Radius 5-7,5; Druckseite; Adwen-Schadensbericht";"Feld von Lunkern; 500x500 mm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 20
09.10.2012"
66;201606-257;"RBL 3; Radius 8,5-14; Saugseite; Adwen-Schadensbericht";"diagonaler Riss; 60 mm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 20
09.10.2012"
67;201606-258;"RBL 3; Radius 10,5; Saugseite; Adwen-Schadensbericht";"Feld von Haarrissen; 50x20 mm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 21
09.10.2012"
68;201606-259;"RBL 3; Radius 35,5-47; Vorderkante; Adwen-Schadensbericht";"Ablösung der Erosionsschutzfolie

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 21
09.10.2012"
69;201606-260;"RBL 3; Radius 35,5; Vorderkante; Adwen-Schadensbericht";"Ablösung des Decklacks; Laminat sichtbar

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 22
09.10.2012"
70;201606-261;"RBL 3; Radius 45,5; Hinterkante; Druckseite; Saugseite; Adwen-Schadensbericht";"Ablösung des Decklacks; Laminat sichtbar

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 22
09.10.2012"
71;201606-262;"RBL 3; Radius 53,5; Saugseite; Adwen-Schadensbericht";"Abplatzung; 7 mm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 23
09.10.2012"
72;201606-263;"RBL 3; Radius 53; Druckseite; Adwen-Schadensbericht";"Riss durch Blitzschlag; 100x2 mm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 23
09.10.2012"
73;201606-264;"RBL 3; Blattspitze; Druckseite; Adwen-Schadensbericht";"Schmauchspuren an den Rezeptoren

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 24
09.10.2012"
74;201606-265;"RBL 1; Radius 8; Druckseite; Adwen-Schadensbericht";"Diagonalrisse; 0,5-9,0 cm

Quelle:
Schadensaufnahme_Lehe02_2014_red.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 3
Seite: 3
09.09.2015"
75;201606-266;"RBL 1; Radius 8-9,5; Druckseite; Adwen-Schadensbericht";"Ablösung der Erosionsschutzfolie; teilw. Laminat sichtbar; Altreperaturstelle

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 3
09.10.2012"
76;201606-267;"RBL 1; Radius 15; Saugseite; Adwen-Schadensbericht";"Bogenriss; 3,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 3
09.10.2012"
77;201606-268;"RBL 1; Radius 20; Saugseite; Adwen-Schadensbericht";"Bogenriss; 2,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 3
09.10.2012"
78;201606-269;"RBL 1; Radius 20-22: Saugseite; Hinterkante; Adwen-Schadensbericht";"Schäden der Erosionsschutzfolie; Breiten  0,1-0,5 cm; Längen 0,5-0,9 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 3
09.10.2012"
79;201606-270;"RBL 1; Radius 32; Saugseite; Adwen-Schadensbericht";"Diagonalrisse; 0,3-2,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 3
09.10.2012"
80;201606-271;"RBL 1; Radius 38; Saugseite; Adwen-Schadensbericht";"Schaden an der Erosionsschutzfolie; 0,5x2,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 3
09.10.2012"
81;201606-272;"RBL 1; Radius 39; Saugseite; Adwen-Schadensbericht";"Bogenriss; 2,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 3
09.10.2012"
82;201606-273;"RBL 1; Radius 39,5; Saugseite; Adwen-Schadensbericht";"Lunker; 3x; 0,2-0,4 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 3
09.10.2012"
83;201606-274;"RBL 1; Radius 46; Saugseite; Adwen-Schadensbericht";"Abplatzung der Erosionsschutzfolie; 0,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 3
09.10.2012"
84;201606-275;"RBL 1; Radius 55,5; Saugseite; Adwen-Schadensbericht";"Abplatzung der Erosionsschutzfolie; Laminat sichtbar; Blitzschaden; 0,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 4
09.10.2012"
85;201606-276;"RBL 1; Radius 56; Saugseite; Adwen-Schadensbericht";"Blitzschäden
Abplatzung der Erosionsschutzfolie; Laminat sichtbar; 0,5 cm
Querrisse; 2x; 1,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 4
09.10.2012"
86;201606-277;"RBL 1; Radius 56; Druckseite; Adwen-Schadensbericht";"Blitzschäden
Risssystem; 1,5 cm
Abplatzung der Erosionsschutzfolie; 0,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 4
09.10.2012"
87;201606-278;"RBL 2; Radius 4; Druckseite; Vorderkante; Adwen-Schadensbericht";"Abplatzungen der Erosionsschutzfolie; Laminat und Mesh sichtbar; 2x; Breiten 0,5 cm; Längen 0,5-1,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 5
09.10.2012"
88;201606-279;"RBL 2; Radius 8; Druckseite; Adwen-Schadensbericht";"Abplatzungen der Erosionsschutzfolie; Laminat und Mesh sichtbar; 2x; Breiten 0,2-1,5 cm; Längen 0,5-1,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 5
09.10.2012"
89;201606-280;"RBL 2; Radius 10; Druckseite; Adwen-Schadensbericht";"Abplatzungen der Erosionsschutzfolie; Laminat und Mesh sichtbar; 2x; Breiten 1,0-1,5 cm; Längen 1,5-2,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 5
09.10.2012"
90;201606-281;"RBL 2; Radius 11,5; Druckseite; Adwen-Schadensbericht";"Abplatzung der Erosionsschutzfolie; Laminat und Mesh sichtbar; 2,0x3,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 5
09.10.2012"
91;201606-282;"RBL 2; Radius 18; Druckseite; Adwen-Schadensbericht";"Abplatzung der Erosionsschutzfolie; Laminat und Mesh sichtbar; 1,0x2,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 5
09.10.2012"
92;201606-283;"RBL 2; Radius 20; Druckseite; Vorderkante; Adwen-Schadensbericht";"Abplatzungen der Erosionsschutzfolie; Laminat und Mesh sichtbar; 2x; Breiten 1,0-3,0 cm; Längen 1,0-4,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 5
09.10.2012"
93;201606-284;"RBL 2; Radius 24; Druckseite; Adwen-Schadensbericht";"Abplatzung der Erosionsschutzfolie; Laminat und Mesh sichtbar; einmal 3,5x6,5 cm; einmal 0,5 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 5
09.10.2012"
94;201606-285;"RBL 2; Radius 30; Druckseite; Adwen-Schadensbericht";"Abplatzung der Erosionsschutzfolie; Laminat und Mesh sichtbar; 6,5x7,0 cm

Quelle:
2012_09_13_Multibrid-M5000-Lehe-02-0912.pdf
in Email: Rotorblattschäden onshore Lehe02 Teil 1
Seite: 5
09.10.2012"
